"ShortSourceA","category","Encounter","Location","Project","Recording","Species","SamplingRate","SELECTIONNUMBER","FREQMAX","FREQMIN","DURATION","FREQBEG","FREQEND","FREQRANGE","DCMEAN","DCSTDDEV","FREQMEAN","FREQSTDDEV","FREQMEDIAN","FREQCENTER","FREQRELBW","FREQMAXMINRATIO","FREQBEGENDRATIO","FREQQUARTER1","FREQQUARTER2","FREQQUARTER3","FREQSPREAD","DCQUARTER1MEAN","DCQUARTER2MEAN","DCQUARTER3MEAN","DCQUARTER4MEAN","FREQCOFM","FREQSTEPUP","FREQSTEPDOWN","FREQNUMSTEPS","FREQSLOPEMEAN","FREQABSSLOPEMEAN","FREQPOSSLOPEMEAN","FREQNEGSLOPEMEAN","FREQSLOPERATIO","FREQBEGSWEEP","FREQBEGUP","FREQBEGDWN","FREQENDSWEEP","FREQENDUP","FREQENDDWN","NUMSWEEPSUPDWN","NUMSWEEPSDWNUP","NUMSWEEPSUPFLAT","NUMSWEEPSDWNFLAT","NUMSWEEPSFLATUP","NUMSWEEPSFLATDWN","FREQSWEEPUPPERCENT","FREQSWEEPDWNPERCENT","FREQSWEEPFLATPERCENT","NUMINFLECTIONS","INFLMAXDELTA","INFLMINDELTA","INFLMAXMINDELTA","INFLMEDIANDELTA","INFLMEANDELTA","INFLSTDDEVDELTA","INFLDUR","STEPDUR"
"CTR-1-20170913T221735-AD259_S123_Sb.ctr'",1,"AD259_S123_Sb","Hawaii","HICEAS2017","2017-09-13 22:17:35","Steno bredanensis",5e+05,1,8361.81640625,5615.234375,0.917,8361.81640625,5615.234375,2746.58203125,0.630904805371221,0.155254568059394,6615.56277654867,641.047323372458,6591.796875,6988.525390625,0.393013100436681,1.48913043478261,1.48913043478261,7080.078125,6591.796875,6042.48046875,1037.59765625,0.637536628302107,0.652630956388468,0.600801213094613,0.632413572880737,0.225830078125,0,0,0,-2982.5569550737,2982.5569550737,0,-8565.29176841677,0,0,0,1,1,0,0,0,0,0,16,0,16,21.5384615384615,56.9230769230769,21.5384615384615,0,0,0,0,0,0,0,0,0
"CTR-1-20170913T222035-AD259_S123_Sb.ctr'",1,"AD259_S123_Sb","Hawaii","HICEAS2017","2017-09-13 22:20:35","Steno bredanensis",5e+05,1,8178.7109375,5493.1640625,0.795,8178.7109375,5493.1640625,2685.546875,0.693142109041259,0.150403916137053,6755.59530452806,713.542749258426,6774.90234375,6835.9375,0.392857142857143,1.48888888888889,1.48888888888889,7263.18359375,6774.90234375,6164.55078125,1098.6328125,0.704885471067686,0.678508922611797,0.731585711917703,0.657708739917978,0.244140625,0,0,0,-3378.3573231161,3378.3573231161,0,-7447.74228050595,0,0,0,1,0,0,1,0,0,0,16,0,16,15.2173913043478,69.5652173913043,15.2173913043478,0,0,0,0,0,0,0,0,0
"CTR-11-20170913T221835-AD259_S123_Sb.ctr'",1,"AD259_S123_Sb","Hawaii","HICEAS2017","2017-09-13 22:18:35","Steno bredanensis",5e+05,11,8178.7109375,5432.12890625,0.713,8178.7109375,5432.12890625,2746.58203125,0.471346802117104,0.221119903771878,6559.19855291193,750.551813636897,6469.7265625,6805.419921875,0.403587443946188,1.50561797752809,1.50561797752809,7080.078125,6469.7265625,5920.41015625,1113.8916015625,0.426073978726744,0.309012390533664,0.605222765513667,0.550744935359464,0.2685546875,0,0,0,-3869.68013079274,3869.68013079274,0,-8211.27247265776,0,0,0,1,0,0,1,0,0,0,11,0,12,15.8730158730159,68.2539682539683,15.8730158730159,0,0,0,0,0,0,0,0,0
"CTR-13-20170913T221835-AD259_S123_Sb.ctr'",1,"AD259_S123_Sb","Hawaii","HICEAS2017","2017-09-13 22:18:35","Steno bredanensis",5e+05,13,8361.81640625,5798.33984375,0.688,8361.81640625,5798.33984375,2563.4765625,0.544611578888606,0.155568640260633,6665.0390625,586.094910806613,6652.83203125,7080.078125,0.362068965517241,1.44210526315789,1.44210526315789,7019.04296875,6652.83203125,6164.55078125,793.45703125,0.659707154539066,0.52424313210172,0.4883055928463,0.500709694369697,0.20751953125,0,0,0,-3699.36250324783,3699.36250324783,0,-8878.47000779478,0,0,0,1,1,0,0,0,0,0,13,0,13,19.2592592592593,61.4814814814815,19.2592592592593,0,0,0,0,0,0,0,0,0
"CTR-17-20170913T221635-AD259_S123_Sb.ctr'",1,"AD259_S123_Sb","Hawaii","HICEAS2017","2017-09-13 22:16:35","Steno bredanensis",5e+05,17,8178.7109375,5737.3046875,0.697,8178.7109375,5737.3046875,2441.40625,0.65258624756008,0.168328582311468,6795.4839662064,692.220823847896,6805.419921875,6958.0078125,0.350877192982456,1.42553191489362,1.42553191489362,7263.18359375,6835.9375,6164.55078125,1098.6328125,0.6532712117982,0.708933544308868,0.589963819527711,0.655460592653785,0.225830078125,0,0,0,-3528.18536268674,3528.18536268674,0,-7497.39389570932,0,0,0,1,1,0,0,0,0,0,10,0,10,15.5737704918033,68.8524590163934,15.5737704918033,0,0,0,0,0,0,0,0,0
"CTR-2-20170913T222035-AD259_S123_Sb.ctr'",1,"AD259_S123_Sb","Hawaii","HICEAS2017","2017-09-13 22:20:35","Steno bredanensis",5e+05,2,8178.7109375,5432.12890625,0.795,8178.7109375,5432.12890625,2746.58203125,0.690355295584158,0.156100891422141,6720.7180723852,727.10038406909,6713.8671875,6805.419921875,0.403587443946188,1.50561797752809,1.50561797752809,7263.18359375,6713.8671875,6103.515625,1144.4091796875,0.688226384839204,0.689406352739193,0.723605138363894,0.660311550293921,0.250244140625,0,0,0,-3452.51638630645,3452.51638630645,0,-7442.09087714947,0,0,0,1,0,0,1,0,0,0,11,0,11,13.6363636363636,72.7272727272727,13.6363636363636,0,0,0,0,0,0,0,0,0
"CTR-22-20170913T221735-AD259_S123_Sb.ctr'",1,"AD259_S123_Sb","Hawaii","HICEAS2017","2017-09-13 22:17:35","Steno bredanensis",5e+05,22,7812.5,5554.19921875,0.696,7812.5,5554.19921875,2258.30078125,0.618924355895845,0.163420312201688,6550.63363008721,599.881610549167,6561.279296875,6683.349609375,0.337899543378995,1.40659340659341,1.40659340659341,7019.04296875,6591.796875,6103.515625,900.2685546875,0.650789485353092,0.504815099503778,0.595238886567861,0.728770339155545,0.1953125,0,0,0,-3254.06855450513,3254.06855450513,0,-7902.7379180839,0,0,0,1,1,0,0,0,0,0,10,0,10,17.6923076923077,64.6153846153846,17.6923076923077,0,0,0,0,0,0,0,0,0
"CTR-3-20170913T222035-AD259_S123_Sb.ctr'",1,"AD259_S123_Sb","Hawaii","HICEAS2017","2017-09-13 22:20:35","Steno bredanensis",5e+05,3,7812.5,5432.12890625,0.671,7812.5,5432.12890625,2380.37109375,0.640872412003158,0.140740274170991,6452.8132059488,617.773070103451,6469.7265625,6622.314453125,0.359447004608295,1.43820224719101,1.43820224719101,6835.9375,6469.7265625,6103.515625,762.939453125,0.633611432073021,0.632189023791144,0.582081998357487,0.719343932880371,0.20751953125,0,0,0,-3590.80717446404,3590.80717446404,0,-7958.00508935275,0,0,0,1,1,0,0,0,0,0,7,0,7,18.6046511627907,62.7906976744186,18.6046511627907,0,0,0,0,0,0,0,0,0
"CTR-4-20170913T220735-AD259_S123_Sb.ctr'",1,"AD259_S123_Sb","Hawaii","HICEAS2017","2017-09-13 22:07:35","Steno bredanensis",5e+05,4,7446.2890625,4089.35546875,0.41,4333.49609375,7141.11328125,3356.93359375,0.370076874789523,0.173181508063846,6266.27604166667,966.105101241736,6530.76171875,5767.822265625,0.582010582010582,1.82089552238806,0.606837606837607,7446.2890625,6896.97265625,6103.515625,1251.220703125,0.302478617982836,0.320742613312623,0.394986628553239,0.469768203019386,0.555419921875,2,0,2,6863.06423611111,17027.839781746,49772.7167038691,-9773.82264003358,-5.09245139153641,0,0,1,2,1,0,1,0,1,4,2,3,31.1475409836066,59.0163934426229,9.83606557377049,4,0.271,0.041,6.60975609756098,0.072,0.128,0.124807852317072,9.75609756097561,4.8780487804878
"CTR-6-20170913T221835-AD259_S123_Sb.ctr'",1,"AD259_S123_Sb","Hawaii","HICEAS2017","2017-09-13 22:18:35","Steno bredanensis",5e+05,6,8178.7109375,5737.3046875,0.753,8178.7109375,5737.3046875,2441.40625,0.586025195466448,0.165806627478914,6620.67372311828,619.150928275647,6591.796875,6958.0078125,0.350877192982456,1.42553191489362,1.42553191489362,7019.04296875,6591.796875,6103.515625,915.52734375,0.663719836134432,0.467249727102626,0.586079545143103,0.623673645630501,0.213623046875,0,0,0,-3208.92649901333,3208.92649901333,0,-8200.58994192295,0,0,0,1,1,0,0,0,0,0,15,0,15,19.4630872483221,61.0738255033557,19.4630872483221,0,0,0,0,0,0,0,0,0
